requested_amount_usd,application_date,request_title,screening_score,region_code,employment_tenure,debt_to_income
5500.0,2008-03-19,personal loan,675.0,pa,2 years,3.97
20000.0,2008-03-19,need to lower interest rate,635.0,ca,3 years,13.11
23500.0,2008-03-19,affordable workforce housing venture,805.0,ga,< 1 year,3943.2
10000.0,2008-03-19,help need to consolidate fast!!!,588.0,ca,1 year,47.92
25000.0,2008-03-19,fund apriority llc framework site launch,775.0,ny,6 years,0.0
15000.0,2008-03-19,debt_consolidation,643.0,nc,< 1 year,19.92
10000.0,2008-03-19,capital for startup real estate firm,660.0,ar,10+ years,47.88
20000.0,2008-03-19,debt_consolidation,637.0,ny,< 1 year,4.32
15000.0,2008-03-19,debt_consolidation,657.0,oh,< 1 year,26.11
22000.0,2008-03-19,debt_consolidation,641.0,nv,< 1 year,60.03
10000.0,2008-03-19,biodiesel loan,620.0,tx,8 years,20.82
25000.0,2008-03-19,credit cards payment,703.0,fl,< 1 year,32.46
8000.0,2008-03-19,recent college grad.,504.0,oh,< 1 year,15.53
21500.0,2008-03-19,residential lot development,768.0,wa,2 years,30.16
15000.0,2008-03-19,debt_consolidation,702.0,ga,< 1 year,27.35
2000.0,2008-03-19,desperately needed loan,534.0,de,< 1 year,0.0
12000.0,2008-03-19,debt_consolidation,714.0,nc,< 1 year,7.92
3000.0,2008-03-19,other,639.0,ga,< 1 year,0.0
5000.0,2008-03-19,new roof,407.0,nc,3 years,37.73
5000.0,2008-03-19,"credit card, tuition, and auto repair",663.0,tx,8 years,0.4
4000.0,2008-03-19,pay irs,412.0,ga,3 years,346.89
22543.0,2008-03-19,debt_consolidation,706.0,ne,< 1 year,30.54
4500.0,2008-03-19,middle age crisis,595.0,al,2 years,1.47
20000.0,2008-03-19,debt_consolidation,,az,< 1 year,0.0
25000.0,2008-03-19,credit card consolidation,548.0,md,1 year,22.26
10000.0,2008-03-19,other,716.0,ny,< 1 year,0.14
500.0,2008-03-19,help,532.0,md,< 1 year,0.0
5000.0,2008-03-19,want to start over.,444.0,az,< 1 year,3.24
25000.0,2008-03-19,need capital for business contracts,709.0,ca,4 years,34.25
6000.0,2008-03-19,badly needed project,,ca,10+ years,-1.0
20000.0,2008-03-19,consolidate and payoff credit cards,695.0,or,4 years,9.2
9500.0,2008-03-19,insurance loan,556.0,ca,2 years,28.91
25000.0,2008-03-19,expanding business,,nc,7 years,-1.0
2500.0,2008-03-19,rescue horses need emergency feed/hay,441.0,ne,5 years,28.82
6000.0,2008-03-20,debt_consolidation,629.0,pa,< 1 year,24.3
1000.0,2008-03-20,need money to finance business,600.0,il,< 1 year,17.6
15000.0,2008-03-20,debt_consolidation,0.0,sc,< 1 year,0.0
5000.0,2008-03-20,help needed,468.0,ga,1 year,159.53
2500.0,2008-03-20,debt and tuition,596.0,oh,7 years,16.01
3000.0,2008-03-20,bill consolidation,720.0,va,10+ years,37.05
7000.0,2008-03-20,one monthly payment,417.0,in,1 year,4.16
7000.0,2008-03-20,consolidate debt and home imp. loan,511.0,oh,1 year,32.03
5000.0,2008-03-20,fixing a leaky roof,611.0,il,4 years,5.86
15000.0,2008-03-20,please help payoff debt,618.0,tx,10+ years,41.31
5000.0,2008-03-20,college tonsilitis,499.0,in,< 1 year,14.36
15000.0,2008-03-20,payoff debt for new home,609.0,tx,10+ years,30.08
3000.0,2008-03-20,debt pay off,558.0,ma,< 1 year,6.36
3000.0,2008-03-20,paying off credit cards,,ms,< 1 year,-1.0
15000.0,2008-03-20,starting a new business,,wa,5 years,-1.0
10000.0,2008-03-20,clean sweep,678.0,ca,10+ years,15.24
2000.0,2008-03-20,paying off credit card,622.0,ma,2 years,22.74
3000.0,2008-03-20,major_purchase,627.0,ma,< 1 year,9.8
25000.0,2008-03-20,our down payment,,ny,3 years,-1.0
5000.0,2008-03-20,credit card debt,606.0,fl,10+ years,18.17
7500.0,2008-03-20,payoff credit cards,619.0,tx,4 years,11.11
3500.0,2008-03-20,futher schooling,618.0,fl,3 years,6.94
2350.0,2008-03-20,consolidate,,tx,< 1 year,-1.0
4000.0,2008-03-20,personal loan,,tx,< 1 year,-1.0
5000.0,2008-03-20,single mom in bad situation,437.0,pa,< 1 year,19.19
10000.0,2008-03-20,bill payoff /extra cash,599.0,ny,1 year,22.16
19000.0,2008-03-20,debt_consolidation,642.0,tx,< 1 year,47.94
11000.0,2008-03-20,debt_consolidation,638.0,tx,< 1 year,27.13
12000.0,2008-03-20,working capital - growing consulting biz,628.0,il,< 1 year,25.27
10000.0,2008-03-20,consolidating high interest ccs and loan,683.0,il,6 years,15.4
14000.0,2008-03-20,credit card consolidation,629.0,mi,4 years,22.32
19000.0,2008-03-20,debt_consolidation,735.0,fl,< 1 year,31.37
5000.0,2008-03-20,wedding woes,495.0,sc,< 1 year,0.0
8500.0,2008-03-20,pay off my current debts,537.0,ca,3 years,15.22
3000.0,2008-03-20,1 loan 4 debt 1 bill to pay!!,455.0,mo,4 years,0.0
5000.0,2008-03-20,refinance credit cards,533.0,nv,2 years,17.66
9000.0,2008-03-20,pay off personal loans/credit cards,678.0,nh,3 years,14.93
3000.0,2008-03-20,businees expenses,615.0,fl,6 years,12.52
10000.0,2008-03-20,trying to refi some credit card debt.,474.0,il,< 1 year,11.63
19500.0,2008-03-20,debt_consolidation,681.0,or,< 1 year,1.81
25000.0,2008-03-20,building a garage,611.0,ks,6 years,19.48
12000.0,2008-03-20,home modification for owner w/ ms,673.0,ca,< 1 year,1.78
6000.0,2008-03-20,major_purchase,642.0,fl,< 1 year,29.28
1200.0,2008-03-20,my new mac,592.0,ky,< 1 year,29.72
15000.0,2008-03-20,family debt consolidatation,609.0,ok,1 year,42.05
7000.0,2008-03-20,getting myself out of credit card debt,677.0,hi,8 years,40.83
7000.0,2008-03-20,debt consolidation,598.0,nm,1 year,11.21
5000.0,2008-03-20,real estate rehab loan,656.0,mi,8 years,0.96
2000.0,2008-03-20,car accident - need repaired,484.0,ga,< 1 year,1.16
12000.0,2008-03-20,purchase a vehicle,399.0,tx,4 years,14.94
3000.0,2008-03-20,brand new apt,,dc,1 year,0.17
18000.0,2008-03-20,bussiness,470.0,mo,3 years,33.84
25000.0,2008-03-20,bussiness,662.0,fl,1 year,13.44
15000.0,2008-03-20,local online video advertising,500.0,ca,< 1 year,7.38
3000.0,2008-03-20,money for finishing school,498.0,ga,5 years,6.11
10000.0,2008-03-20,medical expnses,684.0,mn,7 years,6.89
15000.0,2008-03-20,other,670.0,ma,< 1 year,4.58
15000.0,2008-03-20,auto loan,616.0,ca,1 year,0.0
13800.0,2008-03-20,road to debt free 33,665.0,pa,2 years,22.78
12000.0,2008-03-20,need money to pay off a 401k loan asap!!,474.0,il,10+ years,53.52
1500.0,2008-03-20,dream come true to see my mom,383.0,mo,1 year,45.0
12000.0,2008-03-20,need to pay off a 401k loan asap!!,534.0,il,10+ years,23.25
15000.0,2008-03-20,get rid of debt,623.0,mi,< 1 year,70.14
25000.0,2008-03-20,finish apartment renovation,624.0,nj,10+ years,17.45
3000.0,2008-03-20,dream come true for my wife,,mo,1 year,-1.0
15000.0,2008-03-20,debt_consolidation,639.0,nj,< 1 year,21.58
3000.0,2008-03-20,personal loan,442.0,fl,< 1 year,68.18
25000.0,2008-03-20,debt loan,694.0,wi,10+ years,19.48
15000.0,2008-03-20,debt consolidation loan,,ia,1 year,-1.0
6000.0,2008-03-20,identity theft recovery,440.0,ri,2 years,1.06
12000.0,2008-03-20,debt_consolidation,759.0,tn,< 1 year,30.07
5000.0,2008-03-20,other,600.0,tx,< 1 year,21.02
3500.0,2008-03-20,debt,637.0,nj,2 years,13.2
15000.0,2008-03-20,consolidating debt to lower interest,713.0,oh,4 years,27.99
5100.0,2008-03-20,seeking a nest egg for savings,670.0,va,< 1 year,0.0
15000.0,2008-03-20,other,656.0,ct,< 1 year,41.1
20000.0,2008-03-20,christina conigliaro,523.0,nj,6 years,4.46
5000.0,2008-03-20,debt consolidation,465.0,fl,3 years,0.0
5000.0,2008-03-20,pay off debt,442.0,oh,1 year,22.91
6000.0,2008-03-20,mary kay,469.0,nv,6 years,9.84
22000.0,2008-03-20,debt_consolidation,673.0,ct,< 1 year,25.86
15000.0,2008-03-20,erin's debt consolidation,640.0,ny,1 year,59.72
14000.0,2008-03-20,debt_consolidation,,ga,< 1 year,0.0
25000.0,2008-03-20,diane's loan,547.0,ma,< 1 year,6.55
5000.0,2008-03-20,would like to pay off a personal debt,589.0,or,< 1 year,24.95
25000.0,2008-03-20,business,544.0,tx,2 years,25.71
6000.0,2008-03-20,moving out on a bad relationship,634.0,il,5 years,10.41
15000.0,2008-03-20,giant payday loan,,ny,5 years,-1.0
1500.0,2008-03-20,home project,430.0,ca,5 years,17.9
2500.0,2008-03-20,upcoming move,663.0,il,< 1 year,657.6
5000.0,2008-03-20,debt_consolidation,,ca,< 1 year,0.0
5000.0,2008-03-20,home_improvement,604.0,ny,< 1 year,9999.0
25000.0,2008-03-20,"stock trader need $25,000",596.0,il,< 1 year,1.5
13000.0,2008-03-20,fireplaces for condo project,700.0,wa,10+ years,20.67
24000.0,2008-03-20,i want to studied criminal/civil justice,0.0,ca,2 years,0.63
3500.0,2008-03-20,need to pay taxes,649.0,ca,1 year,40.43
25000.0,2008-03-20,www.masterrealestateplan.com,539.0,ca,< 1 year,0.0
17000.0,2008-03-21,debt_consolidation,677.0,oh,< 1 year,26.5
19000.0,2008-03-21,business expansion,562.0,ca,4 years,0.35
19900.0,2008-03-21,debt_consolidation,672.0,mn,< 1 year,25.12
25000.0,2008-03-21,consolidation,650.0,wv,1 year,28.66
10000.0,2008-03-21,bill pay off,568.0,md,< 1 year,15.46
4750.0,2008-03-21,car loan,494.0,md,9 years,31.17
5000.0,2008-03-21,motorcycle purchase,722.0,fl,< 1 year,7.5
20000.0,2008-03-21,business development funding,532.0,ca,7 years,36.68
15000.0,2008-03-21,better rate,643.0,az,< 1 year,39.57
2000.0,2008-03-21,major_purchase,736.0,ga,< 1 year,34.0
10000.0,2008-03-21,credit cards,514.0,va,3 years,33.48
17000.0,2008-03-21,help get me out of credit card debt,658.0,tx,4 years,24.15
7500.0,2008-03-21,baby on the way!,499.0,sc,8 years,17.76
15000.0,2008-03-21,rebuiling my credit to purchase a home,600.0,il,< 1 year,5.76
10000.0,2008-03-21,paying off debt,,pa,< 1 year,-1.0
3000.0,2008-03-21,paying off medical procedure,,ca,7 years,-1.0
10000.0,2008-03-21,other,0.0,ny,< 1 year,0.0
10000.0,2008-03-21,closing cost for my home,400.0,pa,10+ years,0.25
4500.0,2008-03-21,single mom needing reliable vehicle,480.0,tx,1 year,13.51
3000.0,2008-03-21,a loan for just about everything.,0.0,il,< 1 year,0.0
5000.0,2008-03-21,school loan,695.0,fl,< 1 year,7.32
1600.0,2008-03-21,need to refinance my 29.99% dell account,597.0,co,8 years,19.79
15000.0,2008-03-21,payoff credit cards,646.0,ks,10+ years,31.22
25000.0,2008-03-21,consolidating debt,458.0,ca,1 year,25.8
5000.0,2008-03-21,personal,459.0,ny,6 years,2.79
5000.0,2008-03-21,debt recovery,497.0,mo,2 years,25.92
15000.0,2008-03-21,personal,697.0,tx,4 years,5.67
2500.0,2008-03-21,other,670.0,ny,< 1 year,40.63
1500.0,2008-03-21,to purchase a car,507.0,ca,1 year,14.31
1000.0,2008-03-21,vehicle,544.0,mo,< 1 year,0.75
25000.0,2008-03-21,small business investment bolstering,538.0,tx,1 year,2.4
12000.0,2008-03-21,consolidate debt,672.0,az,1 year,34.64
5000.0,2008-03-21,help daughter set up,547.0,il,3 years,26.24
20000.0,2008-03-21,please help!,509.0,tx,8 years,14.6
5575.0,2008-03-21,credit cards at a better rate,675.0,in,< 1 year,28.75
6000.0,2008-03-21,major_purchase,694.0,nm,< 1 year,2.97
5000.0,2008-03-21,debt_consolidation,634.0,ri,< 1 year,12.14
19000.0,2008-03-21,other,748.0,va,< 1 year,37.7
12000.0,2008-03-21,high-interest payoff,687.0,md,1 year,25.72
9875.0,2008-03-21,debt consolidation loan,751.0,va,4 years,10.78
12500.0,2008-03-21,getting by to the end,516.0,nc,2 years,9.46
12000.0,2008-03-21,debt_consolidation,647.0,ca,< 1 year,10.28
3000.0,2008-03-21,sale of song copyright,656.0,tn,10+ years,48.44
10000.0,2008-03-21,other,649.0,fl,< 1 year,31.68
5000.0,2008-03-21,please help.,509.0,mo,< 1 year,2.73
1500.0,2008-03-21,torisam,660.0,ca,1 year,33.4
6000.0,2008-03-21,tummytuck,449.0,va,4 years,0.0
15000.0,2008-03-21,debt_consolidation,700.0,ma,< 1 year,163.32
5000.0,2008-03-21,consolidate debt,481.0,tx,< 1 year,14.63
3500.0,2008-03-21,clean slate,632.0,ma,1 year,19.75
1000.0,2008-03-21,major car repair,515.0,ca,10+ years,0.0
8000.0,2008-03-21,refinance credit cards,715.0,pa,< 1 year,3453.79
1200.0,2008-03-21,consolidating debt,737.0,ny,< 1 year,12.0
2500.0,2008-03-21,one payment to you.,,ga,< 1 year,-1.0
7500.0,2008-03-21,other,645.0,ca,< 1 year,9.37
2000.0,2008-03-21,credit cards = bad,617.0,ca,3 years,6.44
3500.0,2008-03-21,pay off back bills,477.0,ny,1 year,45.79
14000.0,2008-03-21,debt_consolidation,713.0,va,< 1 year,0.72
2000.0,2008-03-21,money to get back to college,507.0,mi,< 1 year,11.49
4000.0,2008-03-21,debt consolidation,555.0,ma,1 year,35.73
25000.0,2008-03-21,debt consolidation,689.0,nm,< 1 year,12.68
1000.0,2008-03-21,need to pay for school,543.0,ny,2 years,7.56
5000.0,2008-03-21,medical bills,499.0,hi,5 years,46.42
10000.0,2008-03-21,one bill,502.0,ct,10+ years,9.95
10000.0,2008-03-21,debt consolidation,558.0,ct,1 year,19.3
5000.0,2008-03-21,phils loan,573.0,fl,3 years,2.18
6000.0,2008-03-21,loan consolidate bon,591.0,ca,< 1 year,6.63
25000.0,2008-03-21,credit card loan,551.0,tx,1 year,21.37
2000.0,2008-03-21,high interest rate bills need paid off,533.0,in,< 1 year,33.92
20000.0,2008-03-21,cc consolidation,593.0,ar,1 year,56.4
10000.0,2008-03-21,consolidate bill payments,0.0,ma,< 1 year,0.0
5000.0,2008-03-21,debt consolidation,484.0,mn,9 years,34.98
10000.0,2008-03-21,"moving out, first place",482.0,ma,< 1 year,0.89
5000.0,2008-03-21,consolidate debt,490.0,oh,10+ years,19.1
10500.0,2008-03-21,scmelo15,654.0,oh,10+ years,21.63
1800.0,2008-03-21,tracy's books,0.0,in,10+ years,0.0
5500.0,2008-03-21,new(er) car,534.0,wi,< 1 year,0.0
20000.0,2008-03-21,pay off credit cards,489.0,de,10+ years,13.47
500.0,2008-03-21,need money for dentures,503.0,tx,1 year,2.85
1000.0,2008-03-21,help,486.0,mi,< 1 year,794.4
15000.0,2008-03-21,payoff high rate line of credit,663.0,pa,3 years,31.58
16000.0,2008-03-21,reduce bills,572.0,ny,10+ years,15.18
10000.0,2008-03-21,all in one,544.0,mt,1 year,8.38
7000.0,2008-03-21,paying off old debt.,618.0,ga,10+ years,14.4
1000.0,2008-03-21,a new start,446.0,nc,3 years,4.77
4900.0,2008-03-21,pay off loan,603.0,ny,7 years,35.17
5000.0,2008-03-21,debt payoff,436.0,ny,< 1 year,55.51
1000.0,2008-03-21,extra needed money,454.0,pa,< 1 year,0.0
22000.0,2008-03-21,lower payments,645.0,pa,4 years,23.12
625.0,2008-03-21,navy fed cc,564.0,ct,2 years,4.2
15000.0,2008-03-21,personal debt consolidation,479.0,sd,3 years,61.78
10000.0,2008-03-21,personal,480.0,ca,< 1 year,4.32
3000.0,2008-03-21,moving,446.0,in,3 years,27.55
7500.0,2008-03-21,credit help,433.0,ca,< 1 year,20.67
1000.0,2008-03-21,loan 1,0.0,sc,5 years,0.0
4775.0,2008-03-21,stupid girl,690.0,oh,< 1 year,48.57
5000.0,2008-03-21,credit card re-fi,577.0,oh,4 years,6.56
15000.0,2008-03-21,consoildating debt,555.0,de,< 1 year,7.22
4000.0,2008-03-21,mine,592.0,oh,7 years,25.59
25000.0,2008-03-21,fair rate,720.0,tx,10+ years,34.48
5000.0,2008-03-21,too many credit cards want them gone!!!,509.0,nj,2 years,0.86
6500.0,2008-03-21,consolidate debt to stop large fees,573.0,il,2 years,0.0
25000.0,2008-03-21,pay off vehicles,558.0,nh,2 years,33.11
14000.0,2008-03-21,we need money,644.0,me,< 1 year,37.91
2500.0,2008-03-21,credit repair quest,601.0,ca,8 years,1.07
7000.0,2008-03-21,adoption,562.0,tn,7 years,0.0
9000.0,2008-03-21,debt consolidation,523.0,ma,2 years,16.79
4000.0,2008-03-21,help me payoff bills,497.0,il,9 years,21.08
4500.0,2008-03-21,trying to uy a home,0.0,il,1 year,0.6
10000.0,2008-03-21,personal consolidatation loan,425.0,sd,1 year,64.94
5000.0,2008-03-21,help for the drowning feeling i have!!!,558.0,ca,10+ years,42.67
3000.0,2008-03-21,help me get back into school!,,wi,< 1 year,-1.0
3000.0,2008-03-21,get back on my feet,542.0,in,1 year,0.0
5000.0,2008-03-21,financial freedom,421.0,co,3 years,0.0
13000.0,2008-03-21,payoff chase high interest credit card,666.0,fl,10+ years,27.97
700.0,2008-03-21,moving expense,516.0,ca,3 years,0.0
5000.0,2008-03-21,capitol one loan,523.0,oh,10+ years,27.9
10000.0,2008-03-21,new business,463.0,ar,< 1 year,2.67
25000.0,2008-03-21,credit card refinance,659.0,ny,10+ years,16.01
5000.0,2008-03-21,need money to move.,711.0,nc,1 year,5.77
1500.0,2008-03-21,in full,,ca,< 1 year,-1.0
25000.0,2008-03-21,pay off property taxes,498.0,mi,10+ years,61.17
15000.0,2008-03-21,cc consolidation,599.0,ar,< 1 year,101.25
10000.0,2008-03-21,myloan,481.0,fl,3 years,11.38
1500.0,2008-03-21,car for nelson,607.0,oh,2 years,0.0
20000.0,2008-03-21,credit card consolidation,689.0,in,7 years,19.6
10000.0,2008-03-21,loan for consolidating credit card debt,624.0,sc,2 years,13.0
11000.0,2008-03-21,finishing school with a clean slate,752.0,ca,6 years,28.09
5000.0,2008-03-21,my family needs a car,0.0,mi,2 years,0.0
8000.0,2008-03-21,consolidation,542.0,oh,4 years,52.28
5000.0,2008-03-21,florida,,pa,10+ years,-1.0
25000.0,2008-03-21,lease buyout,599.0,ny,2 years,16.79
5000.0,2008-03-21,student needs a little debt help,505.0,nc,5 years,0.0
6500.0,2008-03-21,credit cards,660.0,ia,< 1 year,30.18
10000.0,2008-03-21,refinancing,717.0,nc,10+ years,31.95
5000.0,2008-03-21,consolidate bills,643.0,tx,6 years,0.0
10000.0,2008-03-21,"hfc, wells fargo fin,",535.0,ca,2 years,13.92
6500.0,2008-03-21,equipment loan,711.0,tn,10+ years,5.62
500.0,2008-03-21,fast loan,,al,5 years,-1.0
500.0,2008-03-21,home improvement,0.0,ms,< 1 year,0.0
20000.0,2008-03-21,consolidate,607.0,va,5 years,18.56
1000.0,2008-03-21,medical expenses,549.0,mi,< 1 year,31.26
4000.0,2008-03-21,auto loan,504.0,fl,1 year,16.63
6000.0,2008-03-21,getting the monkey off my back,670.0,pa,3 years,222.4
1500.0,2008-03-21,please help me,509.0,ca,3 years,4.0
5000.0,2008-03-21,my daughter's sweet 15 (quinceanera),584.0,il,4 years,10.58
8000.0,2008-03-21,down payment,668.0,ct,< 1 year,7.51
3000.0,2008-03-21,auto,471.0,pa,5 years,37.76
10000.0,2008-03-21,personal debt consolidation,517.0,sd,3 years,22.54
25000.0,2008-03-21,loan consolidation,678.0,ct,< 1 year,31.81
6000.0,2008-03-21,young entrepreneur seeking capital,632.0,mi,< 1 year,234000.0
5000.0,2008-03-21,remodeling investment property,671.0,oh,3 years,15.13
25000.0,2008-03-21,debt consolidate,497.0,ne,10+ years,12.8
6900.0,2008-03-21,cargo van for business,585.0,fl,2 years,0.0
10000.0,2008-03-21,motorcycle loan,690.0,id,1 year,1.72
4000.0,2008-03-21,catch,483.0,nc,10+ years,22.87
1000.0,2008-03-21,furniture,530.0,tn,2 years,19.86
2000.0,2008-03-21,rent,479.0,va,2 years,21.03
3000.0,2008-03-21,vehicle,438.0,mi,5 years,12.12
10000.0,2008-03-21,pay off loans and bills,667.0,wi,5 years,10.46
5000.0,2008-03-21,sick of credit card companys!,722.0,oh,< 1 year,8.79
4000.0,2008-03-21,get out of debt,449.0,ga,< 1 year,0.0
1000.0,2008-03-21,need help with medical expenses,568.0,va,4 years,23.58
25000.0,2008-03-21,internal revenue service,520.0,sc,9 years,0.0
10000.0,2008-03-21,pay off car loan,0.0,nc,1 year,0.0
14800.0,2008-03-21,terry's balloon ride,675.0,tn,2 years,11.14
4650.0,2008-03-21,credit cards payoff,582.0,fl,10+ years,1.73
1000.0,2008-03-21,bills to be paid,600.0,il,10+ years,22.46
2000.0,2008-03-21,consolidate debt,590.0,ny,< 1 year,0.9
3000.0,2008-03-21,auto,463.0,fl,5 years,12.55
25000.0,2008-03-21,pay off credit card debt,509.0,in,< 1 year,17.42
10000.0,2008-03-21,credit card relief,,ga,10+ years,-1.0
20000.0,2008-03-21,persoal loan,448.0,co,3 years,37.36
8000.0,2008-03-21,breaking out of debt loan,641.0,nj,3 years,43.95
5000.0,2008-03-21,personal,667.0,ma,10+ years,30.19
4000.0,2008-03-21,masters degree,590.0,ny,5 years,15.4
4500.0,2008-03-21,want to stop paying 37%!!!!!,553.0,ca,10+ years,5.57
2500.0,2008-03-21,going to school!!!,415.0,nc,< 1 year,21.54
5000.0,2008-03-21,need a roof,584.0,in,3 years,0.0
7000.0,2008-03-21,help me consolidate debt!,,ga,< 1 year,-1.0
25000.0,2008-03-21,get out of debt,607.0,ca,9 years,20.65
10000.0,2008-03-21,consolidation loan,703.0,mn,10+ years,13.8
25000.0,2008-03-21,to have a secure home to care for my mom,530.0,fl,10+ years,0.11
2500.0,2008-03-21,buy a car,0.0,oh,7 years,0.0
5000.0,2008-03-21,my home mini make over,597.0,tx,2 years,9.32
20000.0,2008-03-21,just need a fresh start,447.0,il,2 years,11.04
24000.0,2008-03-21,lendingclub loan to payoff credit cards,732.0,fl,3 years,21.07
2000.0,2008-03-21,personal loan,561.0,mo,7 years,21.27
1000.0,2008-03-21,consolidate,531.0,oh,8 years,12.35
4000.0,2008-03-21,credit card refinancing,695.0,ca,< 1 year,26.06
8500.0,2008-03-21,consolidate,483.0,tx,6 years,2.88
17500.0,2008-03-21,26 y.o. transgender-f needs srs surgery,,sc,1 year,-1.0
8000.0,2008-03-21,clear debt,417.0,mi,< 1 year,0.0
5000.0,2008-03-21,dept consolidate,525.0,mi,1 year,39.38
10000.0,2008-03-21,personal,500.0,oh,5 years,1.47
5000.0,2008-03-21,payoff payday loans,691.0,pa,8 years,70.98
10000.0,2008-03-21,vehicle purchase,475.0,ca,3 years,13.07
5000.0,2008-03-21,emergency loan for small business,619.0,sc,< 1 year,24.16
16000.0,2008-03-21,consolidate,658.0,ca,5 years,27.89
5000.0,2008-03-21,bobcats,523.0,nj,6 years,12.66
25000.0,2008-03-21,getting straight,,sc,2 years,-1.0
15000.0,2008-03-21,consolidation debt,595.0,la,10+ years,29.82
7000.0,2008-03-21,pay off credit cards,610.0,oh,10+ years,33.95
15000.0,2008-03-21,stop foreclousures -  eliminate debt,448.0,tx,1 year,37.78
2000.0,2008-03-21,time to pay off my credit cards,592.0,oh,< 1 year,25.87
25000.0,2008-03-21,simmons consolidate at lower interest,646.0,sc,10+ years,41.34
5000.0,2008-03-21,lewis wedding,517.0,wi,10+ years,2.64
2000.0,2008-03-21,down payment for purchase of car,448.0,nj,< 1 year,0.63
10000.0,2008-03-21,debt consolidation/other,505.0,me,10+ years,16.42
1000.0,2008-03-21,business development,609.0,ms,7 years,10.58
25000.0,2008-03-21,finally time to pay down my credit cards,557.0,ma,2 years,29.11
10000.0,2008-03-21,consolidate debt,544.0,va,10+ years,13.59
3800.0,2008-03-21,im out of options!,,vt,3 years,-1.0
5000.0,2008-03-21,closing cost,505.0,ny,1 year,9.19
10000.0,2008-03-21,my loan,511.0,ia,1 year,21.5
25000.0,2008-03-21,help,,sc,10+ years,-1.0
5000.0,2008-03-21,debt consolidate,,ny,4 years,-1.0
15000.0,2008-03-21,debt consolidation,575.0,wv,10+ years,9.85
1000.0,2008-03-21,credit card debt,466.0,tx,3 years,3.16
5000.0,2008-03-21,wedding blues,530.0,tn,< 1 year,15.49
25000.0,2008-03-21,performance bond,766.0,ga,8 years,13.53
25000.0,2008-03-21,debt consolidation,717.0,oh,2 years,25.52
5000.0,2008-03-21,study abroad,653.0,il,10+ years,32.82
15000.0,2008-03-21,refinance,633.0,ct,3 years,21.45
1500.0,2008-03-21,moving expenses,493.0,ny,< 1 year,0.71
12500.0,2008-03-21,car loan,579.0,ne,< 1 year,3.49
5000.0,2008-03-21,buying investment property,651.0,ok,10+ years,29.0
5000.0,2008-03-21,card loan,498.0,ia,1 year,6.51
7500.0,2008-03-21,getting out of debt,631.0,ca,6 years,5.47
20000.0,2008-03-21,bad school loans,591.0,ne,< 1 year,115.92
5000.0,2008-03-21,consolidate debts,606.0,mi,< 1 year,7.28
7000.0,2008-03-21,college loan,,co,< 1 year,-1.0
19000.0,2008-03-21,direct to garment,488.0,wv,2 years,3.39
10000.0,2008-03-21,debt consolidation,551.0,sc,1 year,6.39
14000.0,2008-03-21,operating capital,781.0,in,10+ years,29.1
500.0,2008-03-21,moving expense,474.0,va,3 years,24.1
3000.0,2008-03-21,need cash,599.0,nc,< 1 year,9.27
8000.0,2008-03-21,purchase,450.0,pa,2 years,31.2
5000.0,2008-03-21,helping me finish school,0.0,ny,< 1 year,0.0
5000.0,2008-03-21,personal loan,582.0,sc,< 1 year,0.0
20000.0,2008-03-21,consolidation loan,554.0,ne,7 years,62.19
6200.0,2008-03-21,dental care,483.0,nc,10+ years,22.31
15000.0,2008-03-21,kitchen,743.0,in,6 years,45.48
11000.0,2008-03-21,credit card consolidation,740.0,ga,< 1 year,76.8
18000.0,2008-03-21,paying off credit card/revolving debt,705.0,nc,2 years,12.01
800.0,2008-03-21,self-cleaning toilet seat,657.0,ga,< 1 year,1.52
20000.0,2008-03-21,pay debts as soon as possible,577.0,tx,2 years,16.85
18000.0,2008-03-21,home,407.0,pa,< 1 year,10.52
15000.0,2008-03-21,new direction in helping people,682.0,ny,< 1 year,3.27
5000.0,2008-03-21,school,475.0,il,< 1 year,0.0
15000.0,2008-03-21,pay of credit cards,635.0,de,8 years,46.12
7100.0,2008-03-21,second home,626.0,pa,10+ years,21.53
1600.0,2008-03-21,getting out of my overdraft fees,0.0,mi,1 year,0.92
13000.0,2008-03-21,att universal credit card,565.0,me,10+ years,17.82
25000.0,2008-03-21,debt cosolidation,697.0,ga,10+ years,27.23
5000.0,2008-03-21,pay my bills,455.0,mn,< 1 year,3.41
10000.0,2008-03-21,consolidating bills,430.0,de,5 years,1.11
7000.0,2008-03-21,major_purchase,573.0,ca,< 1 year,9.44
5800.0,2008-03-21,transcript release,440.0,id,< 1 year,14.85
25000.0,2008-03-21,reliable montana couple - debt consolida,706.0,mt,< 1 year,50.89
25000.0,2008-03-21,business,659.0,ca,< 1 year,1.9
4000.0,2008-03-21,debt consolidation,622.0,tx,< 1 year,26.24
1000.0,2008-03-21,hope is just around the corner,474.0,in,< 1 year,51.87
20000.0,2008-03-21,debt loan,444.0,wi,< 1 year,0.0
25000.0,2008-03-21,consolidate,597.0,tx,10+ years,39.37
25000.0,2008-03-21,need a car for work,455.0,co,1 year,3.89
14000.0,2008-03-21,debt_consolidation,585.0,il,< 1 year,3.87
25000.0,2008-03-21,i need a loan to pay down debt...,612.0,oh,8 years,32.7
15000.0,2008-03-21,credit card consolidation,650.0,sc,7 years,19.15
25000.0,2008-03-21,consolidation loan for the griffin famil,499.0,ct,< 1 year,0.0
