requested_amount_usd,application_date,request_title,screening_score,debt_to_income_text,region_code,employment_tenure_text,policy_code
3000,2007-11-28,bellgal23,513,10.78%,NJ,10+ years,0
4000,2007-11-28,other,685,49.38%,FL,4 years,0
12500,2007-11-28,kberg31974,641,2.98%,WA,< 1 year,0
7500,2007-11-28,laceydoll24,420,7.13%,TN,6 years,0
5000,2007-11-28,other,518,1.88%,GA,4 years,0
1500,2007-11-28,mrs.karenross,553,81.30%,TN,3 years,0
3500,2007-11-28,PAPA,539,18.19%,OH,< 1 year,0
15000,2007-11-28,jewel1967,489,35.75%,FL,9 years,0
10000,2007-11-28,TaxMan,499,7.99%,KS,2 years,0
10000,2007-11-28,FELIZ85,465,0%,MD,2 years,0
5000,2007-11-28,GeorgiaBoy53,,100%,KS,10+ years,0
2000,2007-11-28,brat2gabby,548,41.60%,TN,10+ years,0
1000,2007-11-28,teasintan3,639,0%,NJ,5 years,0
5000,2007-11-28,enough,455,85.32%,GA,< 1 year,0
25000,2007-11-28,sickofcreditcards,675,20.23%,MT,10+ years,0
6000,2007-11-28,naturesmanna,716,24.40%,NC,5 years,0
2000,2007-11-28,caddragon,471,64.55%,OR ,2 years,0
25000,2007-11-28,ebastow,553,2.06%,ID,1 year,0
4200,2007-11-28,debt_consolidation,656,26.36%,MO,< 1 year,0
10000,2007-11-28,debt_consolidation,617,6.12%,FL,8 years,0
25000,2007-11-28,Kaea101,593,0%,HI,2 years,0
15000,2007-11-28,debt_consolidation,637,18.18%,MA,4 years,0
5000,2007-11-28,other,653,3.90%,NC,2 years,0
5000,2007-11-28,tmb69,563,0%,AZ,< 1 year,0
6200,2007-11-28,Liz B,618,15.16%,MD,< 1 year,0
10000,2007-11-28,wilway202,674,34.56%,GA,10+ years,0
6000,2007-11-28,mtnanny,0,0%,MT,< 1 year,0
10000,2007-11-28,meshellbrown,513,27.12%,TN,10+ years,0
20000,2007-11-28,mommyslilswthrt,0,0%,NY,< 1 year,0
500,2007-11-28,kimnfrank8457,438,24.08%,TX,< 1 year,0
2000,2007-11-28,kimnme22,456,42.19%,TX,3 years,0
10000,2007-11-28,Lankie,584,12.77%,NM,10+ years,0
2000,2007-11-28,avity,506,1.07%,MN,< 1 year,0
1450,2007-11-28,cmarina,631,22.19%,WA,< 1 year,0
1500,2007-11-28,Calli3703,471,0%,IN,< 1 year,0
10000,2007-11-28,bucsmike,464,0.40%,UT,10+ years,0
15000,2007-11-28,jschieberl,488,20.78%,NY,1 year,0
25000,2007-11-28,matthew Fraser,675,3.33%,NY,10+ years,0
15000,2007-11-28,debt_consolidation,657,11.25%,FL,1 year,0
15000,2007-11-28,debt_consolidation,649,19.59%,MA ,3 years,0
2000,2007-11-28,makinit10,385,2.79%,IN,5 years,0
25000,2007-11-28,ziskey27,471,21.15%,OH,< 1 year,0
20000,2007-11-28,Starting a new moving company,723,18.20%,NE,3 years,0
2500,2007-11-28,mjh,0,0%,WA,< 1 year,0
5000,2007-11-28,other,646,13.36%,NJ,10+ years,0
14000,2007-11-28,jessica_rajpar42,428,0%,IN,1 year,0
2000,2007-11-28,debt_consolidation,616,0.80%,MO,< 1 year,0
5000,2007-11-28,poolplayer1,421,13.68%,WI,2 years,0
3000,2007-11-28,hardwordingmoms,452,19.11%,WA,10+ years,0
5000,2007-11-28,other,646,13.36%,NJ,10+ years,0
15000,2007-11-28,debt_consolidation,694,81.14%,FL,2 years,0
5000,2007-11-28,gogetta1,445,9.30%,TN,< 1 year,0
4000,2007-11-28,Butternut,588,11.87%,TN,3 years,0
4000,2007-11-28,Chicago Actor on rise: Need Headshots,683,3.84%,IN,< 1 year,0
6000,2007-11-28,danmays,467,19.99%,IN,10+ years,0
6000,2007-11-28,lrtoto,571,6.13%,WA,< 1 year,0
10000,2007-11-28,needmoney,606,1.12%,OH,1 year,0
25000,2007-11-29,SDHPI,556,17.39%,WA,10+ years,0
2500,2007-11-29,lildude2179,528,33.30%,KS,1 year,0
18000,2007-11-29,jonimiki,667,40.07%,HI,10+ years,0
5000,2007-11-29,evilone,0,0%,KS,1 year,0
8500,2007-11-29,Gatorgirl24,515,18.86%,GA,< 1 year,0
10000,2007-11-29,lcole215,564,85.78%,NC,1 year,0
2500,2007-11-29,scervin,505,13.63%,AL,10+ years,0
3500,2007-11-29,calhounkirby,515,15.38%,GA,< 1 year,0
5000,2007-11-29,dcole1218,574,21.36%,NC,10+ years,0
6000,2007-11-29,monkintosh,633,16.04%,NE,< 1 year,0
3000,2007-11-29,hurtec,644,11.68%,NY,10+ years,0
18500,2007-11-29,debt_consolidation,713,30.80%,NC,1 year,0
5000,2007-11-29,klevass,447,12.99%,CT,1 year,0
10000,2007-11-29,treddi1,536,37.07%,LA,< 1 year,0
20000,2007-11-29,nita1105,531,27.04%,TN,10+ years,0
12000,2007-11-29,ulyssesmo,573,27.62%,MO,1 year,0
20000,2007-11-29,DRH,628,7.76%,FL,10+ years,0
25000,2007-11-29,Breenie,495,15.43%,CO,10+ years,0
10000,2007-11-29,other,683,37.41%,AL,10+ years,0
5000,2007-11-29,AzBaron,544,31.23%,AZ,2 years,0
14000,2007-11-29,Carpediem100,691,18.22%,NY,7 years,0
4000,2007-11-29,mjitlal,618,3.45%,NY,5 years,0
10000,2007-11-29,debt_consolidation,622,63.25%,FL,4 years,0
6000,2007-11-29,bigskygirl,445,0%,MT,< 1 year,0
8000,2007-11-29,T-Thom,588,24.54%,IN,3 years,0
3500,2007-11-29,mominflorida,0,0%,FL,8 years,0
15000,2007-11-29,winter07,463,7.70%,WA,2 years,0
24000,2007-11-29,debt_consolidation,660,47.12%,NY,10+ years,0
15000,2007-11-29,other,642,37.69%,LA,1 year,0
5000,2007-11-29,baebae,483,18.90%,MD,< 1 year,0
15000,2007-11-29,debt_consolidation,721,33.96%,NC,10+ years,0
3000,2007-11-29,other,733,53.35%,GA,4 years,0
10000,2007-11-29,lulaoldman1958,389,51.60%,NM,10+ years,0
10000,2007-11-29,debt_consolidation,633,25.12%,MA,8 years,0
12000,2007-11-29,rayrayray31,683,31.03%,TX,1 year,0
1000,2007-11-29,syclone16,573,41.35%,CO,1 year,0
15000,2007-11-29,debt_consolidation,710,60.21%,LA ,10+ years,0
500,2007-11-29,g.mom,492,0%,NJ,8 years,0
500,2007-11-29,outlaw6976,509,0%,TX,1 year,0
3000,2007-11-29,dadto4,481,21.66%,TX,9 years,0
8000,2007-11-29,qdoknee,693,28.22%,WA,10+ years,0
5000,2007-11-29,lidell,555,43.10%,TN ,5 years,0
3000,2007-11-29,byrddog20,477,309.60%,TN ,1 year,0
4800,2007-11-29,repositionmyself,657,8.15%,VA,10+ years,0
20000,2007-11-29,readra21,458,0.72%,WA,7 years,0
3000,2007-11-29,IL,607,12.63%,IL,10+ years,0
15000,2007-11-29,yankeeroadrunner1,567,5.60%,FL,< 1 year,0
1000,2007-11-29,joycesolsberry,441,23.33%,IN,2 years,0
4000,2007-11-29,debt_consolidation,703,52.13%,FL,8 years,0
15000,2007-11-29,debt_consolidation,621,19.10%,MA,6 years,0
10000,2007-11-29,other,653,15.53%,NY,10+ years,0
5000,2007-11-29,classielady12,460,9.63%,CO,4 years,0
5000,2007-11-29,BlueMax,615,21.16%,MO,10+ years,0
1000,2007-11-29,bpatel53042,579,6.48%,MO,< 1 year,0
4000,2007-11-29,aunty,508,0%,NC,10+ years,0
25000,2007-11-29,amicusceo,644,22.67%,CO,< 1 year,0
2000,2007-11-29,pheenix,574,4.17%,CA,1 year,0
3000,2007-11-29,debt_consolidation,704,59.15%,NY,10+ years,0
6000,2007-11-29,home_improvement,628,44.85%,FL,5 years,0
20000,2007-11-29,debt_consolidation,693,59.26%,IN,2 years,0
15000,2007-11-29,major_purchase,632,1.31%,NC,8 years,0
10000,2007-11-29,texastee1,702,21.22%,TX,10+ years,0
5000,2007-11-29,other,659,12.42%,NY,10+ years,0
4500,2007-11-29,islandqueen,522,0%,SC,< 1 year,0
10000,2007-11-29,major_purchase,678,0.26%,CO,< 1 year,0
1000,2007-11-29,militarywife1,551,327.31%,NC,< 1 year,0
25000,2007-11-29,Roberts Family,644,22.32%,SC,< 1 year,0
12500,2007-11-29,mjberg,646,5.39%,WA,< 1 year,0
20000,2007-11-29,debt_consolidation,693,39.95%,FL,1 year,0
10000,2007-11-29,snowwhite3410,632,18.92%,TN,4 years,0
23000,2007-11-29,debt_consolidation,726,41.13%,NM,10+ years,0
5000,2007-11-29,JBcashflow,542,18.99%,VA,1 year,0
15000,2007-11-29,other,577,0%,FL,4 years,0
3000,2007-11-29,jknafelc25,0,0%,GA,< 1 year,0
2000,2007-11-29,soldier,495,14.59%,IN,6 years,0
18000,2007-11-29,stracing88,644,39.39%,TN,9 years,0
3000,2007-11-30,i95rider06,639,13.44%,WA,1 year,0
25000,2007-11-30,tcre,698,0.24%,TX,2 years,0
2000,2007-11-30,other,653,40.89%,NY,3 years,0
2000,2007-11-30,debt_consolidation,658,1.26%,NY,10+ years,0
2500,2007-11-30,goldrm,534,0%,DE,1 year,0
8000,2007-11-30,jchesnut,465,9.41%,OH,1 year,0
7500,2007-11-30,TampaBlues22,591,6.64%,FL,< 1 year,0
5000,2007-11-30,Hildebeest,678,11.38%,TN,7 years,0
3000,2007-11-30,mimi58,598,15.78%,FL,1 year,0
10000,2007-11-30,dayobolaji,564,4.98%,NJ,5 years,0
10000,2007-11-30,debt_consolidation,646,9.79%,NJ,< 1 year,0
8000,2007-11-30,riverrat,600,19.99%,NY,10+ years,0
2000,2007-11-30,bus3154,553,0%,FL,10+ years,0
5000,2007-11-30,allib,418,2%,FL,< 1 year,0
15000,2007-11-30,mlaryea,426,0.84%,NY,< 1 year,0
2500,2007-11-30,debt_consolidation,624,799.88%,NY,10+ years,0
500,2007-11-30,bigbaby,554,8.93%,FL,7 years,0
12000,2007-11-30,Debt Cosolidation,667,7.58%,GA,4 years,0
8000,2007-11-30,smlyons822,521,4.74%,NY,1 year,0
2500,2007-11-30,bama_girl,550,11.59%,AL,2 years,0
25000,2007-11-30,jtnice00,595,12.33%,NY,< 1 year,0
15000,2007-11-30,gjones3147,657,19.08%,TN,3 years,0
15000,2007-11-30,debt_consolidation,694,35.75%,WI,10+ years,0
7500,2007-11-30,ajones5tomany,445,10.76%,TN,3 years,0
1650,2007-11-30,MIKEDAVIS4612483,525,7.51%,IN,1 year,0
5000,2007-11-30,GentleOne,0,0%,NY,1 year,0
10000,2007-11-30,clasic1251,535,36.63%,NJ,8 years,0
10000,2007-11-30,debt_consolidation,657,0.90%,FL,< 1 year,0
15000,2007-11-30,wt3912,602,12.61%,AL,1 year,0
20025,2007-11-30,jerome9,648,7.01%,SC,10+ years,0
2000,2007-11-30,angelnhb,535,15.62%,NC,2 years,0
15000,2007-11-30,debt_consolidation,667,47.51%,MD,10+ years,0
5500,2007-11-30,ctay65,591,8.51%,SC,1 year,0
15000,2007-11-30,debt_consolidation,669,4.76%,NJ,2 years,0
7000,2007-11-30,ollie50,503,9.33%,NC,10+ years,0
2000,2007-11-30,afbigdaddy,545,36.78%,SC,1 year,0
6200,2007-11-30,cocomill,499,39.11%,SC,5 years,0
1200,2007-11-30,momma501,415,7.34%,IN,1 year,0
8900,2007-11-30,gateway2time,647,34.70%,FL,3 years,0
8500,2007-11-30,simslj,563,18.07%,FL,1 year,0
19000,2007-11-30,debt_consolidation,653,0%,NY,10+ years,0
5000,2007-11-30,shazman,391,2.95%,NC,< 1 year,0
10000,2007-11-30,oc_lover,466,18.42%,WV,1 year,0
12000,2007-11-30,debt_consolidation,770,28.62%,KS,< 1 year,0
5000,2007-11-30,benoliver,608,3.56%,OH,6 years,0
5000,2007-11-30,dagahi,622,23.20%,GA,2 years,0
4000,2007-11-30,crazygenius86,509,19.07%,AZ,< 1 year,0
5000,2007-11-30,Kiran Bhattu,600,15.48%,GA,1 year,0
5000,2007-11-30,carolinagirl41,564,34.55%,NC,3 years,0
14500,2007-11-30,Help this young family get out of debt!,669,8.47%,NE,< 1 year,0
14000,2007-11-30,debt_consolidation,672,20.96%,NY,6 years,0
25000,2007-11-30,tommygunn242002,652,35.53%,MN,< 1 year,0
700,2007-11-30,emtmom,436,23.88%,IN,< 1 year,0
500,2007-11-30,blessings.123,575,19.49%,NJ,1 year,0
5000,2007-11-30,CK1,499,15.48%,MO,< 1 year,0
5000,2007-11-30,major_purchase,0,0.46%,CO,8 years,0
5000,2007-11-30,Shaziena,671,57.10%,NY,10+ years,0
10000,2007-11-30,major_purchase,655,3.67%,KS,1 year,0
10000,2007-11-30,debt_consolidation,803,44.28%,MD,1 year,0
15000,2007-11-30,southside,418,15.40%,TX,7 years,0
2500,2007-11-30,Badshape,470,37.66%,FL,1 year,0
5000,2007-11-30,carllane,474,7.18%,FL,4 years,0
16000,2007-11-30,debt_consolidation,611,40%,FL,2 years,0
2500,2007-11-30,ivan4ever,453,0%,WI,6 years,0
3000,2007-11-30,zachsmommie,495,38.10%,AL,1 year,0
10000,2007-11-30,debt_consolidation,714,32.66%,CO,6 years,0
7500,2007-11-30,PeaKay,582,20.85%,MA,1 year,0
2500,2007-11-30,Mav,560,18.31%,FL,2 years,0
10000,2007-11-30,edaleren1106,684,26.82%,NJ,< 1 year,0
15000,2007-11-30,debt_consolidation,775,37.87%,ME,10+ years,0
17000,2007-11-30,need help buying a condo,755,5.59%,MA,< 1 year,0
10000,2007-11-30,other,,100%,NY,< 1 year,0
15000,2007-11-30,Startup debt + development,647,2.55%,NY,< 1 year,0
7000,2007-11-30,superP,497,0%,NY,3 years,0
5000,2007-11-30,Brandon1385,555,20.90%,AZ,7 years,0
3000,2007-11-30,nurcher4futureRNs,584,47.45%,CO,3 years,0
7500,2007-12-01,kfatbrat17,458,12.60%,WI,10+ years,0
7500,2007-12-01,witcris,0,0%,TX,6 years,0
5500,2007-12-01,IEORyann,0,0%,WA,< 1 year,0
500,2007-12-01,johnnyray,583,23.60%,CO,< 1 year,0
1000,2007-12-01,cin1250,507,177.60%,FL,< 1 year,0
8000,2007-12-01,BigAl,648,2.62%,AZ,< 1 year,0
8000,2007-12-01,alm,599,4.92%,AZ,< 1 year,0
6000,2007-12-01,Dreamer2122,0,0.90%,UT,3 years,0
5000,2007-12-01,Mike2055,648,19.24%,AZ,6 years,0
1525,2007-12-01,Blacky,551,24.47%,HI,3 years,0
20000,2007-12-01,Cynthia2009,659,39%,NC,1 year,0
7500,2007-12-01,other,609,21.38%,GA,< 1 year,0
2000,2007-12-01,wooliswonderful,0,0%,WI,< 1 year,0
17500,2007-12-01,Paying off Visa,808,12.41%,NY,10+ years,0
12000,2007-12-01,rjr118,656,197.60%,NY,2 years,0
8000,2007-12-01,debt_consolidation,646,24.96%,NJ,8 years,0
8600,2007-12-01,creatingmemories,637,11.03%,FL,3 years,0
20000,2007-12-01,debt_consolidation,570,19.40%,CO,6 years,0
24000,2007-12-01,mlittle,631,29.92%,AZ,4 years,0
10000,2007-12-01,"I have been serving in the US military for 20+ years, and just recently relocated. My family and I had to wait for 2 months for housing, which really put a strain on our finances. We are also expecting another child in February. What we are trying to do is consolidate the debt acrued during the move and buy the essentials for our new arrival. We have managed to buy a crib and dresser, but still need much more! We would also like to put some in savings and be able to buy our 11 year old son a few things for Christmas as well. Normally, we would not have this problem as my wife is a nurse, but she is unable to work right now due to pregnancy complications. Thank you for your consideration!",644,25.60%,LA,10+ years,0
7500,2007-12-01,debt_consolidation,670,31.50%,FL,5 years,0
8200,2007-12-01,joealamo96,673,22.85%,TX,10+ years,0
15000,2007-12-01,jeshil82,656,29.68%,GA,10+ years,0
12000,2007-12-01,bigskygirl08,538,0.55%,MT,2 years,0
2000,2007-12-01,kev16,572,4.84%,NY,10+ years,0
15000,2007-12-01,debt_consolidation,556,6.52%,NJ,< 1 year,0
5000,2007-12-01,dsirn333,730,9.73%,MN,< 1 year,0
10000,2007-12-01,nincompoop,811,1.69%,CO,< 1 year,0
20000,2007-12-01,other,714,60.47%,NH,10+ years,0
18000,2007-12-01,major_purchase,772,46.60%,NY,4 years,0
9500,2007-12-01,debt_consolidation,652,36.52%,NY,10+ years,0
12450,2007-12-01,"WHY I NEED A LOAN 	Sixteen years ago I started a business that was on its way the first 12 months to netting $120,000- pretax profit. 	Then, suddenly, I had a nervous breakdown. Couldn't work. No motivation. Exhausted my savings. Had to go on early, discounted Social Security. 	Thanks largely to my anti-depressant, I chucked all symptoms except one: no matter how early nor late I went to bed, I couldn't get up in the morning for work. If I tried even walking downstairs for the paper before my brain said ""OK,"" I'd get sick to my stomach, unable to do anything productive the rest of the day. 	I got wind of a hospital's sleep lab. ""You have 'restless leg syndrome,' advised the doctor. ""I'd like to start you on this new medicine.""  	A few weeks ago I realized that no matter what time I had been going to bed, so long as my brain was comfortable with the notion...and I had had 8 to 9 hours in bed the night before, I could safely get up for the day. Nor, most times, would I feel the least drowsy until bedtime. 	From a previous 14 to 15 total bed hours nightly  I had needed for several previous years, I now needed but 8 or 9. 	My doctor and I both figure that, if I was ""running a Marathon nightly in my sleep, eventually I'd run out of energy. And stop thrashing. And sleep motionless. Until rested. No wonder I needed 6-7 extra hours in bed.""  MY FINANCIAL SITUATION 	Voila! I could now re-start my profession. Except..........the paradox...the irony of it all...was...now that I'm fit and ready to roll, I don't have the money I need to jump-start my former business.                 I'm confident I'll net at least $100,000- first 12 months. 	While I was a New York City-based actor, I taught as a hired gun for Communispond, the world's first, and by far premier trainers of top, multi-national, corporate executives in stand-up presentation and media skills. 3,000 +  CEOs, EVPs and other officers, supervisors and ""comers"" with such well-known, respected companies as IBM, GM, ATT, PepsiCo, 3M, etc. 	A typical post-program participant comment was, ""Wow! I should have taken this 20 years ago!""                 I quit in order to create a more versatile, measurable program. I researched, developed, tested before audiences the most versatile, most effective, simplest to use stand-up presentation skills program on the world market. 	It serves any speaker, under any circumstances, speaking to any size audience on any topic on which the speaker is expert. And.....measure results against intention.....anonymously. 	I give a full, money-back guarantee. My graduates (1) don't memorize a thing, (2) don't use notes, (3) they neither write nor read long-winded, boring, speeches! 	I got six huge photo-features in major NYC suburban daily papers, plus, a piece in an Albuquerque, New Mexico daily. 	I wrote and published PRESENTER.  Got glowing testimonials from the top human resources officers of Fortune 500 companies and Dr. Norman Vincent Peale.  SPECIAL BONUS OFFER 	If I achieve my loan request, I will give you, absolutely FREE, one autographed copy of PRESENTER *  for each one-thousand DOLLARS OF YOUR LOAN. For example, if you take $3,000- of the loan, I'll give you 3 copies of my book; one-thousand, one copy. Eight hundred fifty dollars? sorry, no FREE, autographed book.   *       Praised by top, multi-national corporate human resource VPs, EVPs such as Gannett Corp., ConAgra, Gibson Greetings, 3M...and the late Norman Vincent Peale.          Please allow 6-8 weeks for delivery of new and revised, second edition, PRESENTER, printing.  ",552,7.56%,NY,10+ years,0
10000,2007-12-01,other,,100%,MD,6 years,0
8000,2007-12-01,musicmommy1027,539,0%,VA,4 years,0
10500,2007-12-01,canterbury,731,53.86%,LA,< 1 year,0
15000,2007-12-01,kuuleialoha,636,11.09%,HI,10+ years,0
7500,2007-12-01,MeHappy99,473,36.26%,KS,2 years,0
12000,2007-12-01,debt_consolidation,664,35.38%,NY,10+ years,0
17500,2007-12-01,debt_consolidation,,100%,GA,2 years,0
12000,2007-12-01,yukisenshi,519,12.83%,NY,1 year,0
21250,2007-12-02,Emorle,441,13.05%,AK,< 1 year,0
6000,2007-12-02,steph1977,656,20.52%,NE,3 years,0
2500,2007-12-02,"Trying to somehow take advantage of the first time home owner rebate deal...not to mention I would love to get my own place.  I don't have much credit experience but I do have a score of 700+.  Monthly payments won't be a problem, and with an 8k rebate on a first home purchase I could easily prepay a remaining loan balance at next year's tax rebate time.  ",762,1.20%,NJ,< 1 year,0
2000,2007-12-02,wilsontee47,486,101.31%,NC,2 years,0
7500,2007-12-02,johnsonal,584,17.76%,VA,2 years,0
18000,2007-12-02,kaptnkrunch2,553,0%,NC,6 years,0
5000,2007-12-02,lizzy_leopard,631,8.31%,MA ,1 year,0
10000,2007-12-02,wendyred,529,0%,NC,7 years,0
15000,2007-12-02,debt_consolidation,669,34.28%,NY,4 years,0
25000,2007-12-02,kesha4,585,0%,VA,8 years,0
9000,2007-12-02,major_purchase,667,23.23%,MO,10+ years,0
25000,2007-12-02,smalltownmomof3,641,21.36%,TX,2 years,0
25000,2007-12-02,michaelr,544,9.26%,NY,< 1 year,0
5000,2007-12-02,L4Thomp,626,27.35%,CT,8 years,0
3000,2007-12-02,tink20,518,35.40%,VA,7 years,0
1500,2007-12-02,jacksonj3123,454,1.01%,NC,8 years,0
1000,2007-12-02,dbhwolf,589,0%,SC,1 year,0
5000,2007-12-02,other,745,8.16%,NY,1 year,0
15000,2007-12-02,debt_consolidation,646,25.52%,NC,8 years,0
6000,2007-12-02,Photofunson,482,6.69%,SC,1 year,0
1000,2007-12-02,NORTHWOODS,578,35.93%,WI,8 years,0
15000,2007-12-02,home_improvement,,100%,NJ,10+ years,0
20000,2007-12-02,debt_consolidation,693,46.77%,IN ,1 year,0
3500,2007-12-02,kmoregon,586,9.98%,NC,1 year,0
7500,2007-12-02,CinLou114,499,175.11%,PA,10+ years,0
9000,2007-12-02,tratrappi,453,0%,SC,< 1 year,0
16000,2007-12-02,debt_consolidation,645,0.71%,CO,2 years,0
25000,2007-12-02,katedsimmons,683,62.51%,TX,1 year,0
4000,2007-12-02,redhmp,504,15.37%,MN,6 years,0
15000,2007-12-02,jmplayer,535,13.32%,TX ,10+ years,0
1200,2007-12-02,Please help,758,15.28%,MD,< 1 year,0
5000,2007-12-02,Schriever,477,5.39%,CO,< 1 year,0
8000,2007-12-02,other,698,33.32%,GA,4 years,0
12000,2007-12-02,debt_consolidation,705,6.89%,KS,< 1 year,0
19000,2007-12-02,danthemason,539,39.45%,VA,< 1 year,0
1500,2007-12-02,stitches04,476,13.45%,OK,10+ years,0
11000,2007-12-02,GrouperTrooper37,637,8.32%,MS,2 years,0
2000,2007-12-02,Beans,612,0%,MA,< 1 year,0
2500,2007-12-02,mrleester96,557,35.33%,OK,1 year,0
3500,2007-12-02,hockeymn889,478,0%,KS,2 years,0
1300,2007-12-02,brokechef,623,3.87%,DC,8 years,0
575,2007-12-02,rmj72401,512,31.21%,AR,< 1 year,0
11000,2007-12-02,soccergoalie119,663,107.26%,PA,< 1 year,0
5000,2007-12-02,debt_consolidation,673,10.15%,KS,2 years,0
7000,2007-12-02,dink0212,491,11.36%,AZ,2 years,0
10000,2007-12-02,debt_consolidation,685,38.88%,MA,< 1 year,0
3000,2007-12-02,debt_consolidation,675,38.12%,NE,6 years,0
2400,2007-12-02,Please help with unexpected medical bill,596,13.94%,OK,5 years,0
2000,2007-12-02,michrileigh,441,15.67%,NV,3 years,0
1500,2007-12-02,debt_consolidation,685,35%,NC,4 years,0
7500,2007-12-02,beauloxyboi,604,16.83%,MS,2 years,0
7000,2007-12-02,smcc,624,2.46%,GA,< 1 year,0
1000,2007-12-02,chris79,582,15.38%,KS,2 years,0
5000,2007-12-02,home_improvement,702,10.07%,FL,8 years,0
10000,2007-12-02,ftgdave,659,13.52%,OK,10+ years,0
500,2007-12-02,bart25,537,13.39%,WA,9 years,0
5000,2007-12-02,WORKINGMANOF3,549,32.38%,AL,6 years,0
10000,2007-12-02,debt_consolidation,661,35.73%,NJ,4 years,0
5000,2007-12-02,WORKINGMOTHEROF3,436,16.24%,AL,1 year,0
25000,2007-12-02,2Elisaiah,479,34.20%,GA,5 years,0
2000,2007-12-02,apexsa,499,5.62%,TX,< 1 year,0
1500,2007-12-02,Sheketra,471,0%,VA,< 1 year,0
8000,2007-12-03,okra22,601,0.42%,TX ,6 years,0
7000,2007-12-03,bigman,509,11.44%,GA,10+ years,0
1500,2007-12-03,Passion2477,414,4.64%,IN,4 years,0
8000,2007-12-03,jpogantsch,441,4.69%,WI,8 years,0
25000,2007-12-03,astairekelly,429,10.32%,AL,< 1 year,0
25000,2007-12-03,bussiness expansion,753,10.64%,TN,9 years,0
5300,2007-12-03,eaumana,612,17.55%,NE,< 1 year,0
500,2007-12-03,shelac43,466,13.56%,TX,< 1 year,0
5000,2007-12-03,braddenj,519,0.50%,VA,3 years,0
20000,2007-12-03,debt_consolidation,739,31.80%,MA,10+ years,0
10000,2007-12-03,other,788,0%,MO,< 1 year,0
2000,2007-12-03,other,670,0.94%,NY,2 years,0
20000,2007-12-03,SamandTraci,467,25.68%,MT,2 years,0
6000,2007-12-03,marie616,529,3.47%,OH,4 years,0
3500,2007-12-03,VINTAGE,472,7.82%,GA,3 years,0
20000,2007-12-03,AMRY0901,610,18.91%,TX,10+ years,0
15000,2007-12-03,debt_consolidation,,100%,NJ,10+ years,0
8000,2007-12-03,akramer77,485,6.45%,TX,< 1 year,0
6000,2007-12-03,samson1970ss,539,1.08%,TX,1 year,0
17375,2007-12-03,JLASFS,568,20.46%,FL,10+ years,0
6000,2007-12-03,personal loan,743,11.08%,GA,< 1 year,0
15000,2007-12-03,other,653,50.91%,IN,10+ years,0
3000,2007-12-03,ejkirkpat,494,39.44%,TX,3 years,0
2500,2007-12-03,Mr. Clark,554,0.77%,MA,1 year,0
5000,2007-12-03,debt_consolidation,604,3.13%,GA,8 years,0
6500,2007-12-03,jokahub3,501,0%,TX,< 1 year,0
18200,2007-12-03,petoir,634,28.36%,OH,< 1 year,0
20000,2007-12-03,khardt,670,26.66%,OH,< 1 year,0
1500,2007-12-03,kaykay,432,23.09%,NC,< 1 year,0
8000,2007-12-03,Boanerges57,622,11.70%,WI,2 years,0
4000,2007-12-03,debt_consolidation,770,15.89%,NC,< 1 year,0
20000,2007-12-03,other,651,11.68%,NJ,6 years,0
3500,2007-12-03,kevin ray,430,0%,WV ,2 years,0
10000,2007-12-03,geri girl,574,22.25%,NE,< 1 year,0
5000,2007-12-03,ern alxndra,513,32.98%,VA,< 1 year,0
2000,2007-12-03,mzmonks0824,421,0.69%,AR,3 years,0
20000,2007-12-03,sandyshae,515,72.06%,NJ,< 1 year,0
10000,2007-12-03,debt_consolidation,654,53.37%,GA,10+ years,0
25000,2007-12-03,kwhbllc,550,37.15%,AZ,9 years,0
18000,2007-12-03,debt_consolidation,740,25.20%,UT,10+ years,0
3000,2007-12-03,debt consolidation,534,5.97%,IN,< 1 year,0
7500,2007-12-03,hipp1121,451,0.44%,PA,10+ years,0
10000,2007-12-03,Larry Love,476,16.59%,KY,< 1 year,0
500,2007-12-03,metaphasia.tap,590,18.80%,FL,< 1 year,0
6000,2007-12-03,other,670,8.47%,LA,10+ years,0
5000,2007-12-03,randyj,727,62.84%,TX,10+ years,0
25000,2007-12-03,rt1963,665,26.21%,CO,4 years,0
1500,2007-12-03,Lopes,609,0.72%,WA,1 year,0
9000,2007-12-03,treeman,639,11.23%,GA,10+ years,0
2500,2007-12-03,spawn,499,10.76%,TX,5 years,0
1500,2007-12-03,mahaffey50,665,32.52%,NY,< 1 year,0
5500,2007-12-03,BillyBob,0,0%,MN,< 1 year,0
25000,2007-12-03,rteam,674,13.73%,TX,10+ years,0
20000,2007-12-03,RUGGIESGIRL,0,0%,TN,9 years,0
20000,2007-12-03,other,630,0.48%,NY,8 years,0
25000,2007-12-03,MD Webmedrecords,732,29.04%,MT,1 year,0
1000,2007-12-03,Borrower0069,466,28.11%,MT,5 years,0
6500,2007-12-03,other,668,0.30%,GA,6 years,0
5000,2007-12-03,CDL Training Loan,686,23.92%,IN,1 year,0
12000,2007-12-03,Buying First home,686,9.36%,FL,< 1 year,0
1000,2007-12-03,rower1,613,106.56%,MA,< 1 year,0
3000,2007-12-03,wbooten2008,0,0%,MS,< 1 year,0
7500,2007-12-03,joemyers1961,484,0.45%,SC,< 1 year,0
2000,2007-12-03,c246cp,517,0%,TX,4 years,0
5500,2007-12-03,wendyg313,509,0%,TX ,3 years,0
